stn,date,temperature,wind_speed,precipitation
725030,12/31/2020,45.8,9.8,0.1
744860,12/31/2020,44.1,9.9,0.06
725030,12/30/2020,35.2,8.7,0
744860,12/30/2020,32.5,8.3,0
725030,12/29/2020,42.1,13.6,0
744860,12/29/2020,39.7,13.8,0
725030,12/28/2020,42.9,5.3,0
744860,12/28/2020,41.1,8.6,0
725030,12/27/2020,31.6,8,0
744860,12/27/2020,29.5,9,0
725030,12/26/2020,31.1,14.5,0.22
744860,12/26/2020,29.5,18.7,0.22
725030,12/25/2020,56.4,19.9,0.69
744860,12/25/2020,53.5,21.7,0.49
725030,12/24/2020,50.1,11.9,0
744860,12/24/2020,49.4,14.6,0
725030,12/23/2020,42.4,9.1,0
744860,12/23/2020,40.1,9.2,0
725030,12/22/2020,43,10.1,0
744860,12/22/2020,39.5,10.1,0
725030,12/21/2020,40.9,3.5,0.01
744860,12/21/2020,36.6,4.5,0.08
725030,12/20/2020,34.8,3.7,0
744860,12/20/2020,32.3,4.1,0
725030,12/19/2020,29,5.1,0
744860,12/19/2020,25.7,6.1,0
725030,12/18/2020,30.1,9.7,0.04
744860,12/18/2020,27.1,11.3,0.06
725030,12/17/2020,30.4,19.1,0.65
744860,12/17/2020,29.7,19.9,0.81
725030,12/16/2020,31.5,13.9,0
744860,12/16/2020,29.7,12.5,0
725030,12/15/2020,38.5,13.7,0.23
744860,12/15/2020,36.7,14.1,0.28
725030,12/14/2020,44.3,7.9,0
744860,12/14/2020,42.7,7.9,0
725030,12/13/2020,55.8,8.2,0
744860,12/13/2020,52.2,9.4,0
725030,12/12/2020,49.6,5.3,0
744860,12/12/2020,47.9,6.3,0
725030,12/11/2020,46.8,5.5,0
744860,12/11/2020,42.3,7,0
725030,12/10/2020,43.6,11.2,0.02
744860,12/10/2020,41.3,12.2,0.01
725030,12/9/2020,36.3,11.1,0
744860,12/9/2020,34.4,12.7,0
725030,12/8/2020,34.8,12.2,0
744860,12/8/2020,32.9,12.2,0
725030,12/7/2020,37.3,9.5,0
744860,12/7/2020,35.2,8.3,0
725030,12/6/2020,40.7,18.8,0.38
744860,12/6/2020,39,17.4,0.35
725030,12/5/2020,46.3,11.5,0.76
744860,12/5/2020,44.5,13.4,0.88
725030,12/4/2020,49.9,9.1,0
744860,12/4/2020,47.5,10.2,0
725030,12/3/2020,43.2,10.1,0
744860,12/3/2020,40.9,12.6,0
725030,12/2/2020,41.8,14.6,0
744860,12/2/2020,40.7,19.8,0
725030,12/1/2020,55.7,11.3,1.23
744860,12/1/2020,53.4,15.1,1.14
725030,11/30/2020,55.9,12.1,0
744860,11/30/2020,54.5,14.5,0
725030,11/29/2020,49,6.2,0
744860,11/29/2020,45.2,7.5,0
725030,11/28/2020,53.8,7.2,0
744860,11/28/2020,50.7,6.7,0
725030,11/27/2020,58.9,4.3,0.21
744860,11/27/2020,52.9,5.8,0.08
725030,11/26/2020,58.8,6.8,0.67
744860,11/26/2020,57,10.6,0.39
725030,11/25/2020,49.7,6.1,0
744860,11/25/2020,47.3,6.6,0
725030,11/24/2020,46.4,12.1,0.18
744860,11/24/2020,44.3,11.4,0.25
725030,11/23/2020,55.7,13.9,0.5
744860,11/23/2020,54,14.3,0.51
725030,11/22/2020,50.2,11.1,0
744860,11/22/2020,49.9,11.4,0
725030,11/21/2020,59.3,7.4,0
744860,11/21/2020,54.3,7.8,0
725030,11/20/2020,52.5,9.1,0
744860,11/20/2020,49.5,11.5,0
725030,11/19/2020,38.6,8.5,0
744860,11/19/2020,36.3,8.3,0
725030,11/18/2020,37.6,17.6,0
744860,11/18/2020,35.6,18.2,0
725030,11/17/2020,48.6,10.4,0
744860,11/17/2020,45.7,9.6,0
725030,11/16/2020,54.5,16.3,0.13
744860,11/16/2020,52.9,18.8,0.34
725030,11/15/2020,50,10,0
744860,11/15/2020,47.2,11.5,0
725030,11/14/2020,50.6,10.7,0.12
744860,11/14/2020,48.2,9.5,0.12
725030,11/13/2020,49.6,8.4,0.18
744860,11/13/2020,48.7,7.9,0.19
725030,11/12/2020,60.9,8.3,0.77
744860,11/12/2020,58.7,10.1,1.02
725030,11/11/2020,66.1,6,0
744860,11/11/2020,61.6,9,0
725030,11/10/2020,65.5,6.5,0
744860,11/10/2020,59.4,5.9,0
725030,11/9/2020,63,2.7,0
744860,11/9/2020,56.4,2.7,0
725030,11/8/2020,66.2,2.6,0
744860,11/8/2020,58.5,3.8,0
725030,11/7/2020,65.8,3.9,0
744860,11/7/2020,58.4,6.7,0
725030,11/6/2020,62.1,5.5,0
744860,11/6/2020,56.1,6.3,0
725030,11/5/2020,58.9,7.9,0
744860,11/5/2020,54.2,6.9,0
725030,11/4/2020,51,6.8,0
